node_name,is_oncogene,is_fusion,is_TSG,is_cancer_protein
ENSP00000455229,False,False,False,False
ENSP00000474529,False,False,False,False
ENSP00000482195,False,False,False,False
ENSP00000491507,False,False,False,False
ENSP00000284881,False,False,False,False
ENSP00000329127,False,False,False,False
ENSP00000359939,False,False,False,False
ENSP00000392660,False,False,False,False
ENSP00000424007,False,False,False,False
ENSP00000498941,False,False,False,False
ENSP00000439170,False,False,False,False
ENSP00000009041,False,False,False,False
ENSP00000284288,False,False,False,False
ENSP00000370936,False,False,False,False
ENSP00000304915,False,False,False,False
ENSP00000291577,False,False,False,False
ENSP00000499786,False,False,False,False
ENSP00000283441,False,False,False,False
ENSP00000418751,False,False,False,False
ENSP00000261558,False,False,False,False
ENSP00000269834,False,False,False,False
ENSP00000379330,True,True,False,True
ENSP00000379369,False,False,False,False
ENSP00000355140,False,False,False,False
ENSP00000498136,False,False,False,False
ENSP00000387356,False,False,False,False
ENSP00000315265,False,False,False,False
ENSP00000363250,False,False,False,False
ENSP00000475270,False,False,False,False
ENSP00000346997,False,False,False,False
ENSP00000366886,False,False,False,False
ENSP00000351422,False,False,False,False
ENSP00000414066,False,False,False,False
ENSP00000316842,False,False,False,False
ENSP00000349930,False,False,False,False
ENSP00000267615,False,False,False,False
ENSP00000300433,False,False,False,False
ENSP00000262584,False,False,False,False
ENSP00000297785,False,False,False,False
ENSP00000368565,False,False,False,False
ENSP00000351989,False,False,False,False
ENSP00000439189,False,False,False,False
ENSP00000499676,False,False,False,False
ENSP00000317327,False,False,False,False
ENSP00000296026,False,False,False,False
ENSP00000288235,False,False,False,False
ENSP00000364526,False,False,False,False
ENSP00000407978,False,False,False,False
ENSP00000275493,True,False,False,True
ENSP00000362401,False,False,False,False
ENSP00000362888,False,False,False,False
ENSP00000262189,False,False,True,True
ENSP00000492895,False,False,False,False
ENSP00000251127,False,False,False,False
ENSP00000305899,False,False,False,False
ENSP00000322323,False,False,False,False
ENSP00000386911,False,False,False,False
ENSP00000295461,False,False,False,False
ENSP00000237853,False,False,False,False
ENSP00000368305,False,False,False,False
ENSP00000346577,False,False,False,False
ENSP00000394653,False,False,False,False
ENSP00000480791,False,False,False,False
ENSP00000267017,False,False,False,False
ENSP00000264444,False,False,False,False
ENSP00000381064,False,False,False,False
ENSP00000420357,False,False,False,False
ENSP00000380071,False,False,False,False
ENSP00000362869,False,False,False,False
ENSP00000417132,False,False,True,True
ENSP00000483246,False,False,False,False
ENSP00000376390,False,False,False,False
ENSP00000375095,False,False,False,False
ENSP00000478417,False,False,False,False
ENSP00000328625,False,False,False,False
ENSP00000483921,False,False,False,False
ENSP00000228495,False,False,False,False
ENSP00000284987,False,False,False,False
ENSP00000348308,False,False,False,False
ENSP00000377396,False,False,False,False
ENSP00000417517,False,False,False,False
ENSP00000241014,False,False,False,False
ENSP00000282841,False,False,False,False
ENSP00000379684,False,False,False,False
ENSP00000272217,False,False,False,False
ENSP00000346378,False,False,False,False
ENSP00000499465,False,False,False,False
ENSP00000351811,False,False,False,False
ENSP00000356470,False,False,False,False
ENSP00000344786,False,False,False,False
ENSP00000260264,False,False,False,False
ENSP00000300650,False,False,False,False
ENSP00000373594,False,False,False,False
ENSP00000249499,False,False,False,False
ENSP00000384973,False,False,False,False
ENSP00000262367,True,True,True,True
ENSP00000308236,False,False,False,False
ENSP00000339634,False,False,False,False
ENSP00000295266,False,False,False,False
ENSP00000334441,False,False,False,False
ENSP00000257909,False,False,False,False
ENSP00000403343,False,False,False,False
ENSP00000410811,False,False,False,False
ENSP00000414202,False,False,False,False
ENSP00000359575,False,False,False,False
ENSP00000415203,False,False,False,False
ENSP00000276241,False,False,False,False
ENSP00000250863,False,False,False,False
ENSP00000384398,False,False,False,False
ENSP00000446830,False,False,False,False
ENSP00000456543,False,False,False,False
ENSP00000261196,False,False,False,False
ENSP00000209873,False,False,False,False
ENSP00000324763,False,False,False,False
ENSP00000349436,False,False,False,False
ENSP00000337641,False,False,False,False
ENSP00000320548,False,False,False,False
ENSP00000370517,False,False,False,False
ENSP00000440038,False,False,False,False
ENSP00000344424,False,False,False,False
ENSP00000464522,False,False,False,False
ENSP00000483667,False,False,False,False
ENSP00000396915,False,False,False,False
ENSP00000320025,False,False,False,False
ENSP00000364076,False,False,False,False
ENSP00000247992,False,False,False,False
ENSP00000242505,False,False,False,False
ENSP00000254108,False,True,True,True
ENSP00000343746,False,False,False,False
ENSP00000268661,False,False,False,False
ENSP00000378260,False,False,False,False
ENSP00000423390,False,False,False,False
ENSP00000257981,False,False,False,False
ENSP00000240488,False,False,False,False
ENSP00000387941,False,False,False,False
ENSP00000367686,False,False,False,False
ENSP00000377033,False,False,False,False
ENSP00000481029,False,False,False,False
ENSP00000402758,False,False,False,False
ENSP00000350734,False,False,False,False
ENSP00000484525,False,False,False,False
ENSP00000241416,False,False,True,True
ENSP00000256497,False,False,False,False
ENSP00000432816,False,False,False,False
ENSP00000348753,False,False,False,False
ENSP00000350102,False,False,False,False
ENSP00000263239,False,False,False,False
ENSP00000482502,False,False,False,False
ENSP00000225842,False,False,False,False
ENSP00000351232,False,False,False,False
ENSP00000334153,False,False,False,False
ENSP00000432011,False,False,False,False
ENSP00000497509,False,False,False,False
ENSP00000363973,False,False,False,False
ENSP00000239449,False,False,False,False
ENSP00000314004,False,False,False,False
ENSP00000306983,False,False,False,False
ENSP00000369996,False,False,False,False
ENSP00000405165,False,False,False,False
